domain_id,domain_name,userid,username,topic_id,topic_name,subtopic_id,subtopic_name,passage_id,passage_name,docno,offset_start,offset_end,grade,timestamp
1,Ebola,1,assr1,339,zmapp availability,23,availability,72,Due to the limited supply of ZMapp  only a small number of humans have received the experimental treatment. ,ebola-8a0774c4475e6c7b6d2b6ae932a3440511c5272fba75918fd2b5a4a4a51b9674,0,108,2,2016-04-13 12:51:28.286131, 
1,Ebola,1,assr1,339,zmapp availability,23,availability,79,still currently in the development stage. ,ebola-8a0774c4475e6c7b6d2b6ae932a3440511c5272fba75918fd2b5a4a4a51b9674,51,93,2,2016-04-13 12:57:52.078195, 
1,Ebola,1,assr1,339,zmapp availability,23,availability,83,The manufacturer of ZMapp has partnered with Icon Genetics AG and Kentucky BioProcessing  companies that specialize in the development of plant systems like this to help make Zmapp. ,ebola-8a0774c4475e6c7b6d2b6ae932a3440511c5272fba75918fd2b5a4a4a51b9674,188,370,1,2016-04-13 12:59:30.394485, 
1,Ebola,1,assr1,339,zmapp availability,23,availability,92,In August 2014  DHHS  under the Assistant Secretary for Preparedness and Response to Biological and Advanced Research and Development Authority  granted Mapp Pharmaceuticals $24.9 million for support manufacturing  regulatory  and non-clinical activities associatedï¿½withï¿½ZMapp. The contract is for 18 months  with the possibility of an additional $42.3 million. This will help Mapp Pharmaceuticals manufacture enough ZMapp to conduct clinical studies to determine the safety and effectiveness of the drug.,ebola-8a0774c4475e6c7b6d2b6ae932a3440511c5272fba75918fd2b5a4a4a51b9674,25,534,2,2016-04-13 13:04:36.812235, 
1,Ebola,1,assr1,339,zmapp availability,23,availability,109,On August 12 ï¿½2014 ï¿½Mapp Pharmaceuticals stated that ZMapp supply has been exhausted. For this reason  the CDC reported that ZMapp cannot be purchased and is not available for general use. ,ebola-8a0774c4475e6c7b6d2b6ae932a3440511c5272fba75918fd2b5a4a4a51b9674,0,193,4,2016-04-13 13:09:29.740671, 
1,Ebola,1,assr1,339,zmapp availability,23,availability,118,It has not been FDA approved to treat the Ebola virus. ,ebola-8a0774c4475e6c7b6d2b6ae932a3440511c5272fba75918fd2b5a4a4a51b9674,433,488,2,2016-04-13 13:11:12.310567, 
1,Ebola,1,assr1,339,zmapp availability,23,availability,121,	On September 10 ï¿½2014 ï¿½the Bill and Melinda Gates Foundation announced it would commit 50 million dollars to support the efforts taking place in West Africa  with some of this grant money available for development and production of Ebola therapies such as ZMapp.,ebola-8a0774c4475e6c7b6d2b6ae932a3440511c5272fba75918fd2b5a4a4a51b9674,0,266,1,2016-04-13 13:12:00.555084, 
1,Ebola,1,assr1,339,zmapp availability,23,availability,161,  the U.S. Food and Drug Administration has refused to provide information about how officials determined that the drug could be used.  The Goldwater Institute  which is campaigning for the “Right to Try” drugs still in the testing process  has filed a Freedom of Information Act request seeking information about the internal approval process that was used.  ,ebola-093ccc504ab4ca4bace476eb7343c5c42446a6a4279121beec2b5d683ed2ebf4,0,360,2,2016-04-13 13:25:10.686307, 
1,Ebola,1,assr1,339,zmapp availability,23,availability,169,the average compassionate-use request takes 300 hours to complete.  “If these doctors were allowed access to experimental medication without following the FDA’s normal process  we want to know why and how other sick or dying Americans can also get an exception ” said Jon Riches  an attorney at the Goldwater Institute.  “When time is of the essence  as it was in these two Ebola cases  we can all agree that the government shouldn’t stand in the way of a potentially life-saving treatment. But every sick American should be treated the same by the government; and if the FDA is willing to forgo its own process for some  it should do it for everyone. ,ebola-093ccc504ab4ca4bace476eb7343c5c42446a6a4279121beec2b5d683ed2ebf4,23,675,2,2016-04-13 13:29:44.416291, 
1,Ebola,1,assr1,339,zmapp availability,23,availability,170,Even though a drug is not approved right now  the FDA can still provide access to potential products through other mechanisms  such as through an emergency Investigational New Drug (IND) application. In order for an experimental treatment to be administered in the U.S.  a request must be submitted to and approved by the FDA. The FDA stands ready to work with companies and investigators treating these patients who are in dire need of treatment.”  ,ebola-093ccc504ab4ca4bace476eb7343c5c42446a6a4279121beec2b5d683ed2ebf4,0,450,3,2016-04-13 13:30:33.791174, 
1,Ebola,1,assr1,339,zmapp availability,23,availability,177,ZMapp is not an approved treatment for Ebola,ebola-093ccc504ab4ca4bace476eb7343c5c42446a6a4279121beec2b5d683ed2ebf4,0,44,1,2016-04-13 13:33:58.166345, 
1,Ebola,1,assr1,339,zmapp availability,23,availability,189,An ethics panel convened by the World Health Organization concluded it is ethical to give experimental drugs during an outbreak as large as this one  but that doesn’t mean it will happen.  Rolling out an untested drug during a massive outbreak would be very difficult  Doctors Without Borders says. Experimental drugs typically are not mass-produced,ebola-093ccc504ab4ca4bace476eb7343c5c42446a6a4279121beec2b5d683ed2ebf4,0,349,3,2016-04-13 13:36:51.435283, 
1,Ebola,1,assr1,339,zmapp availability,23,availability,191,very few courses of this experimental treatment have been manufactured. The manufacturer has indicated that the available doses have been distributed. ,ebola-093ccc504ab4ca4bace476eb7343c5c42446a6a4279121beec2b5d683ed2ebf4,14,165,3,2016-04-13 13:38:33.219713, 
1,Ebola,1,assr1,339,zmapp availability,23,availability,194,This experimental treatment was arranged privately by Samaritan’s Purse  the private humanitarian organization  which employed one of the Americans who contracted the virus in Liberia. ,ebola-093ccc504ab4ca4bace476eb7343c5c42446a6a4279121beec2b5d683ed2ebf4,0,185,3,2016-04-13 13:39:49.691191, 
